1;0;0;22;23;0;0;0;0;0;0;0;0;no;no;23.jpg
4;10;0;22;27;0;0;0;0;0;*;0;0;no;*;23.jpg
0;8;0;22;23;0;0;0;0;39;0;0;0;yes;no;23.jpg
*;*;13;17;27;0;32;0;0;*;*;*;0;*;*;24.jpg
5;0;0;0;23;28;0;0;0;39;0;0;0;yes;no;25.jpg
0;8;13;19;23;0;0;0;0;*;*;40;0;*;yes;26.jpg
1;0;14;17;23;0;0;0;0;0;0;0;0;no;no;26.jpg
1;0;14;17;23;0;0;0;0;0;38;0;42;no;yes;27.jpg
1;0;0;*;*;*;33;0;0;*;0;*;0;*;*;28.jpg
5;10;13;0;27;28;0;35;0;*;*;*;0;yes;*;29.jpg
5;10;13;0;27;28;0;35;0;*;*;*;0;yes;*;29.jpg
5;0;0;0;23;0;0;0;0;0;38;0;0;no;yes;30.jpg
5;0;0;17;27;0;0;0;0;*;*;*;0;*;*;31.jpg
0;7;13;17;23;0;32;34;0;*;*;*;0;yes;*;32.jpg
3;0;0;20;*;*;0;34;0;39;0;0;0;yes;no;33.jpg
5;0;0;0;*;*;0;0;0;39;0;0;0;yes;no;33.jpg
5;0;0;0;*;*;0;0;0;39;0;0;42;yes;yes;33.jpg
*;*;13;22;23;28;*;0;0;*;*;0;0;*;*;34.jpg
3;0;0;17;26;0;0;0;0;0;*;0;0;no;*;34.jpg
1;0;0;17;*;*;0;*;37;39;0;40;0;yes;yes;35.jpg
1;0;13;19;27;0;32;34;0;*;*;*;*;yes;*;36.jpg
3;0;13;20;27;0;0;*;*;0;0;40;*;*;yes;37.jpg
3;0;14;17;23;0;32;0;0;0;0;0;0;no;no;38.jpg
2;0;0;19;*;*;*;*;*;*;*;*;*;*;*;39.jpg
2;0;0;19;*;*;33;0;37;0;0;*;0;yes;*;39.jpg
2;0;13;17;23;0;0;0;0;*;*;*;0;*;*;40.jpg
2;0;13;17;27;0;0;0;0;39;*;40;0;yes;yes;41.jpg
3;0;13;0;27;28;0;0;0;0;0;0;42;no;yes;42.jpg
1;0;0;19;*;*;33;0;0;39;38;40;0;yes;yes;43.jpg
5;0;0;0;*;28;0;0;0;*;*;0;0;*;*;44.jpg
*;*;12;17;24;0;0;0;0;*;*;0;42;*;yes;45.jpg
*;*;13;22;27;0;0;0;0;0;0;0;0;no;no;46.jpg
0;11;13;*;*;*;0;0;0;0;0;0;0;no;no;47.jpg
1;0;13;22;*;28;0;0;0;*;*;0;0;*;*;48.jpg
1;0;13;0;*;28;0;0;0;*;*;*;0;*;*;49.jpg
5;0;0;0;23;0;0;0;37;39;0;0;0;yes;no;50.jpg
